#,Segmento,Nome,Cidade,Região/Ilha,País,Email,Telefone,Website/Presença,Notas,Fonte,Canal recomendado,Status,Próxima ação,Personalização (gancho)
1,Restaurante/Pastelaria,Restaurante Zé Pataco,Canas de Senhorim (Nelas),Centro,Portugal,restaurantezepataco@gmail.com,—,Website indicado (restaurantezepataco.com) + página pai.pt,Restaurante; bom candidato para proposta de site + reservas/menus.,pai.pt,Email (1º) + follow-up,Novo,Enviar 1º email,
2,Restaurante,O Casarão - Restaurante,Azóia (Leiria),Centro,Portugal,info@ocasarao.pt,—,Página pai.pt,"Restaurante; enfoque em menu, fotos e Google Business.",pai.pt,Email (1º) + follow-up,Novo,Enviar 1º email,
3,Pastelaria,Pastelaria Moderna,Barreiro,AML (Lisboa),Portugal,pastelariamoderna@mail.telepac.pt,210 473 403,Página pai.pt,"Pastelaria; bom caso para landing com horários, mapa, encomendas.",pai.pt,Email (1º) + follow-up,Novo,Enviar 1º email,
4,Clínica (geral),Clínica Dr Paulo Sousa,Santo Tirso,Norte,Portugal,clinica.paulo.sousa@gmail.com,—,Página pai.pt,"Clínica; foco em agendamento, serviços, confiança.",pai.pt,Email (1º) + follow-up,Novo,Enviar 1º email,
5,Medicina Dentária,Consultório Medicina Dentária José Melo,Vila do Porto,Açores (Santa Maria),Portugal,consultoriojmelo@sapo.pt,961 659 887,Página pai.pt,Dentária; site simples + FAQs + marcação.,pai.pt,Email (1º) + follow-up,Novo,Enviar 1º email,
6,Fisioterapia/Reabilitação,Clínica de Fisioterapia e Reabilitação Física Dra. Rosa Guerreiro,Lisboa,AML (Lisboa),Portugal,geral@clinicarg.pt,—,Página pai.pt,Fisio; landing com serviços e marcação.,pai.pt,Email (1º) + follow-up,Novo,Enviar 1º email,
7,Clínica (saúde),Casa de Saúde Coimbra,Coimbra,Centro,Portugal,csaudecbr.geral@mail.telepac.pt,239 851 770,Página pai.pt,Clínica; potencial para páginas por especialidade.,pai.pt,Email (1º) + follow-up,Novo,Enviar 1º email,
8,Imagiologia,Briosa e Gala SA (Clínica de Imagiologia),Aveiro,Centro,Portugal,geral@briosaegala.pt,234 378 410,Website indicado (briosaegala.pt) + página pai.pt,Imagiologia; pode precisar de otimização/SEO local.,pai.pt,Email (1º) + follow-up,Novo,Enviar 1º email,
9,Veterinária,Clínica Veterinária Quinta do Paraíso,Setúbal,AML (Lisboa),Portugal,clivetparaiso@gmail.com,265 241 690,Página pai.pt,Vet; bom caso para marcação + serviços + urgência.,pai.pt,Email (1º) + follow-up,Novo,Enviar 1º email,
10,Medicina Dentária,Cede - Centro Dentário do Entroncamento,Entroncamento,Centro,Portugal,cede.centrodentario@sapo.pt,249 727 627 / 969 443 936 / 913 539 300,Página pai.pt,Dentária; pacote 'Presença Digital' encaixa bem.,pai.pt,Email (1º) + follow-up,Novo,Enviar 1º email,
11,Otorrinolaringologia,Prof. Dr. Eduardo Breda (ORL),Aveiro / Porto,Centro/Norte,Portugal,doutorbreda@gmail.com,234 423 248,Página pai.pt,"Médico; foco em confiança, credenciais, marcação.",pai.pt,Email (1º) + follow-up,Novo,Enviar 1º email,
12,Clínica Médica,Clínica A Lacobrigense,Lagos,Algarve,Portugal,clinica@alacobrigense-asm.pt,282 770 050,Página pai.pt,Clínica; provável necessidade de bilinguismo PT/EN para turismo.,pai.pt,Email (1º) + follow-up,Novo,Enviar 1º email,
13,Cardiologia,Instituto Nacional de Cardiologia Preventiva (INCP),Lisboa,AML (Lisboa),Portugal,geral@incp.pt,21 722 0650 / 21 791 0160,Página pai.pt (incp.pai.pt),Instituição; abordagem com proposta de modernização/UX.,pai.pt,Email (1º) + follow-up,Novo,Enviar 1º email,
14,Oftalmologia,Iberoftal - Clínicas Oftalmológicas,Senhora da Hora (Porto),Norte,Portugal,geral@iberoftal.com,220 423 748,Website indicado (iberoftal.com) + página pai.pt,Clínica; pode precisar de landing por unidade.,pai.pt,Email (1º) + follow-up,Novo,Enviar 1º email,
15,Otorrinolaringologia,Fernando Neves - Médico Otorrinolaringologista,Funchal,Madeira,Portugal,fernado.neves@sapo.pt,291 239 430,Página pai.pt,Médico; abordagem por reputação + marcação.,pai.pt,Email (1º) + follow-up,Novo,Enviar 1º email,
16,Medicina Dentária,Clínica Médica Dentária de Viseu (CMDV),Viseu,Centro,Portugal,geral@cmdviseu.com,232 421 793,Página pai.pt,"Dentária; melhorar conversão (CTA, prova social).",pai.pt,Email (1º) + follow-up,Novo,Enviar 1º email,
17,Cardiologia,H H P - Centro de Cardiologia,Paivas (Amora),AML (Setúbal),Portugal,geral@hhp.pt,210 462 902,Página pai.pt,"Cardio; foco em serviços, exames, marcação.",pai.pt,Email (1º) + follow-up,Novo,Enviar 1º email,
18,Oculista/Óptica,Oculista Cristal de Ouro,Lisboa,AML (Lisboa),Portugal,cristaldouro@grupotico.pt (alt: geral@cristaldouro.mail.pt; cristaldouro.beato@grupotico.pt),213 190 690 (alt: 218 684 433),Página pai.pt,Óptica/oculista; landing com marcação e localização (2 lojas).,pai.pt,Email (1º) + follow-up,Novo,Enviar 1º email,
19,Saúde (loja),Loja Médica - Produtos Médicos e Acessórios Lda,Ponta Delgada,Açores (São Miguel),Portugal,lojamedica@lojamedica.com,296 653 511 / 296 653 795,Website indicado (lojamedica.com) + página pai.pt,Loja; e-commerce leve / catálogo e WhatsApp.,pai.pt,Email (1º) + follow-up,Novo,Enviar 1º email,
