id,nome,contacto,email,area_actividade,quantidade_pcs,cidade,bairro,tipo_cliente
MAP-001,Serviços e Comércio Unida Lda,+258 842719583,serviçoslda@empresa.co.mz,Educação,72,Maputo,Coop,Grande
MAP-002,Supermercado Moderna Lda,+258 841499914,supermercadolda@empresa.co.mz,Hotelaria/Restauração,42,Maputo,Baixa,Médio
MAP-003,Tecnologias Futuro SA,+258 864335942,tecnologiassa@empresa.co.mz,Comércio/Retalho,43,Maputo,Central,Médio
MAP-004,Supermercado Norte Lda,+258 865667265,supermercadolda@empresa.co.mz,Hotelaria/Restauração,19,Maputo,Maxaquene,Médio
MAP-005,Serviços e Comércio Nacional Lda,+258 855661907,serviçoslda@empresa.co.mz,Construção/Imobiliária,27,Maputo,Baixa,Médio
MAP-006,Clínica Moderna Lda,+258 847022674,clínicalda@empresa.co.mz,Comércio/Retalho,10,Maputo,Baixa,Pequeno
MAP-007,Farmácia Unida Lda,+258 868707870,farmácialda@empresa.co.mz,Construção/Imobiliária,30,Maputo,Central,Médio
MAP-008,Transportes Moderna Lda,+258 867067228,transporteslda@empresa.co.mz,Saúde,75,Maputo,Malhangalene,Grande
MAP-009,Grupo Central Lda,+258 844905582,grupolda@empresa.co.mz,Educação,68,Maputo,Malhangalene,Grande
MAP-010,Transportes Unida Lda,+258 847210606,transporteslda@empresa.co.mz,Indústria,121,Maputo,Alto Maé,Grande
MAP-011,Construções Moderna Lda,+258 865107245,construçõeslda@empresa.co.mz,Serviços/Consultoria,15,Maputo,Aeroporto,Pequeno
MAP-012,Transportes Unida Lda,+258 846440561,transporteslda@empresa.co.mz,Comércio/Retalho,45,Maputo,Aeroporto,Médio
MAP-013,Distribuidora Moçambicana SA,+258 855491946,distribuidorasa@empresa.co.mz,Construção/Imobiliária,6,Maputo,Alto Maé,Pequeno
MAP-014,Oficina Sul Lda,+258 858698256,oficinalda@empresa.co.mz,Comércio/Retalho,18,Maputo,Maxaquene,Médio
MAP-015,Comercial Moçambicana Lda,+258 858187926,comerciallda@empresa.co.mz,Comércio/Retalho,40,Maputo,Aeroporto,Médio
MAP-016,Transportes Sul Lda,+258 869279821,transporteslda@empresa.co.mz,Indústria,61,Maputo,Polana,Grande
MAP-017,Distribuidora Moderna SA,+258 868082668,distribuidorasa@empresa.co.mz,Comércio/Retalho,14,Maputo,Polana,Pequeno
MAP-018,Transportes Norte Lda,+258 851192619,transporteslda@empresa.co.mz,Educação,129,Maputo,Aeroporto,Grande
MAP-019,Empresa Futuro Unipessoal Lda,+258 845924115,empresalda@empresa.co.mz,Hotelaria/Restauração,22,Maputo,Alto Maé,Médio
MAP-020,Logística Central Lda,+258 849517485,logísticalda@empresa.co.mz,Serviços/Consultoria,21,Maputo,Aeroporto,Médio
MAP-021,Hotel Futuro SA,+258 847273233,hotelsa@empresa.co.mz,Indústria,160,Maputo,Coop,Grande
MAP-022,Supermercado Futuro Lda,+258 859197443,supermercadolda@empresa.co.mz,Construção/Imobiliária,5,Maputo,Triunfo,Pequeno
MAP-023,Escola Unida Lda,+258 842321324,escolalda@empresa.co.mz,Comércio/Retalho,20,Maputo,Central,Médio
MAP-024,Indústrias Moderna SA,+258 848973915,indústriassa@empresa.co.mz,Comércio/Retalho,39,Maputo,Polana,Médio
MAP-025,Instituto Unida SA,+258 854553384,institutosa@empresa.co.mz,Indústria,140,Maputo,Triunfo,Grande
MAP-026,Consultoria Unida Lda,+258 859683481,consultorialda@empresa.co.mz,Indústria,107,Maputo,Alto Maé,Grande
MAP-027,Tecnologias Moçambicana SA,+258 844860684,tecnologiassa@empresa.co.mz,Saúde,13,Maputo,Alto Maé,Pequeno
MAP-028,Serviços e Comércio Moderna Lda,+258 841527021,serviçoslda@empresa.co.mz,Educação,25,Maputo,Coop,Médio
MAP-029,Grupo Futuro Lda,+258 869143903,grupolda@empresa.co.mz,Indústria,65,Maputo,Malhangalene,Grande
MAP-030,Comercial Nova Lda,+258 848935169,comerciallda@empresa.co.mz,Comércio/Retalho,41,Maputo,Maxaquene,Médio
MAP-031,Consultoria Moderna Lda,+258 858106470,consultorialda@empresa.co.mz,Construção/Imobiliária,8,Maputo,Baixa,Pequeno
MAP-032,Distribuidora Moderna SA,+258 866692553,distribuidorasa@empresa.co.mz,Serviços/Consultoria,8,Maputo,Baixa,Pequeno
MAP-033,Empresa Moçambicana Unipessoal Lda,+258 868526486,empresalda@empresa.co.mz,Construção/Imobiliária,11,Maputo,Coop,Pequeno
MAP-034,Instituto Unida SA,+258 848434500,institutosa@empresa.co.mz,Comércio/Retalho,34,Maputo,Coop,Médio
MAP-035,Supermercado Moderna Lda,+258 842564689,supermercadolda@empresa.co.mz,Construção/Imobiliária,6,Maputo,Aeroporto,Pequeno
MAP-036,Tecnologias Nacional SA,+258 854586084,tecnologiassa@empresa.co.mz,Indústria,109,Maputo,Maxaquene,Grande
MAP-037,Distribuidora Nacional SA,+258 855449368,distribuidorasa@empresa.co.mz,Indústria,102,Maputo,Central,Grande
MAP-038,Logística Unida Lda,+258 869164991,logísticalda@empresa.co.mz,Indústria,113,Maputo,Aeroporto,Grande
MAP-039,Hotel Moçambicana SA,+258 862022698,hotelsa@empresa.co.mz,Comércio/Retalho,8,Maputo,Triunfo,Pequeno
MAP-040,Distribuidora Central SA,+258 869910817,distribuidorasa@empresa.co.mz,Hotelaria/Restauração,42,Maputo,Maxaquene,Médio
MAP-041,Laboratório Moderna Lda,+258 862140194,laboratóriolda@empresa.co.mz,Comércio/Retalho,16,Maputo,Sommerschield,Médio
MAP-042,Tecnologias Norte SA,+258 841666754,tecnologiassa@empresa.co.mz,Hotelaria/Restauração,12,Maputo,Triunfo,Pequeno
MAP-043,Agrícola Nova SA,+258 854426900,agrícolasa@empresa.co.mz,Educação,143,Maputo,Alto Maé,Grande
MAP-044,Clínica Moçambicana Lda,+258 846033115,clínicalda@empresa.co.mz,Hotelaria/Restauração,21,Maputo,Baixa,Médio
MAP-045,Grupo Central Lda,+258 862677407,grupolda@empresa.co.mz,Saúde,63,Maputo,Triunfo,Grande
MAP-046,Consultoria Futuro Lda,+258 852154126,consultorialda@empresa.co.mz,Comércio/Retalho,21,Maputo,Polana,Médio
